Gene symbol	Entrez ID	Aliases	Full name
AES	166	AES-1, AES-2, ESP1, GRG, GRG5, TLE5	amino-terminal enhancer of split
AFP	174	FETA, HPAFP	alpha-fetoprotein
AGER	177	RAGE	advanced glycosylation end product-specific receptor
AGGF1	55109	GPATC7, GPATCH7, HSU84971, HUS84971, VG5Q	angiogenic factor with G patch and FHA domains 1
AGO1	26523	EIF2C, EIF2C1, GERP95, Q99	argonaute RISC catalytic component 1
AGR2	10551	AG2, GOB-4, HAG-2, PDIA17, XAG-2	anterior gradient 2 homolog (Xenopus laevis)
AGT	183	ANHU, SERPINA8	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)
AGTR1	185	AG2S, AGTR1A, AGTR1B, AT1, AT1AR, AT1B, AT1BR, AT1R, AT2R1, AT2R1A, AT2R1B, HAT1R	angiotensin II receptor, type 1
AHR	196	bHLHe76	aryl hydrocarbon receptor
AHRR	57491	AHH, AHHR, bHLHe77	aryl-hydrocarbon receptor repressor
AICDA	57379	AID, ARP2, CDA2, HIGM2	activation-induced cytidine deaminase
AIP	9049	ARA9, FKBP16, FKBP37, SMTPHN, XAP-2, XAP2	aryl hydrocarbon receptor interacting protein
AIRE	326	AIRE1, APECED, APS1, APSI, PGA1	autoimmune regulator
AK4	205	AK3, AK3L1, AK3L2	adenylate kinase 4
AKAP12	9590	AKAP250, SSeCKS	A kinase (PRKA) anchor protein 12
AKR1B1	231	ADR, ALDR1, ALR2, AR	aldo-keto reductase family 1, member B1 (aldose reductase)
AKR1C2	1646	AKR1C-pseudo, BABP, DD, DD2, DDH2, HAKRD, HBAB, MCDR2, SRXY8	aldo-keto reductase family 1, member C2
AKR1C3	8644	DD3, DDX, HA1753, HAKRB, HAKRe, HSD17B5, PGFS, hluPGFS	aldo-keto reductase family 1, member C3
AKR1C4	1109	3-alpha-HSD, C11, CDR, CHDR, DD-4, DD4, HAKRA	aldo-keto reductase family 1, member C4
AKT1	207	AKT, CWS6, PKB, PKB-ALPHA, PRKBA, RAC, RAC-ALPHA	v-akt murine thymoma viral oncogene homolog 1
AKT2	208	HIHGHH, PKBB, PKBBETA, PRKBB, RAC-BETA	v-akt murine thymoma viral oncogene homolog 2
ALAS1	211	ALAS, ALAS3, ALASH, MIG4	aminolevulinate, delta-, synthase 1
ALAS2	212	ALAS-E, ALASE, ANH1, ASB, XLDPP, XLEPP, XLSA	aminolevulinate, delta-, synthase 2
ALB	213	PRO0883, PRO0903, PRO1341	albumin
ALDH1A1	216	ALDC, ALDH-E1, ALDH1, ALDH11, PUMB1, RALDH1	aldehyde dehydrogenase 1 family, member A1
ALDH1A2	8854	RALDH(II), RALDH2, RALDH2-T	aldehyde dehydrogenase 1 family, member A2
ALDH1A3	220	ALDH1A6, ALDH6, MCOP8, RALDH3	aldehyde dehydrogenase 1 family, member A3
ALDOA	226	ALDA, GSD12	aldolase A, fructose-bisphosphate
ALDOB	229	ALDB, ALDO2	aldolase B, fructose-bisphosphate
ALK	238	CD246, NBLST3	anaplastic lymphoma receptor tyrosine kinase
ALKBH2	121642	ABH2	alkB, alkylation repair homolog 2 (E. coli)
ALOX12	239	12-LOX, 12S-LOX, LOG12	arachidonate 12-lipoxygenase
ALOX15	246	15-LOX-1, 15LOX-1	arachidonate 15-lipoxygenase
ALOX15B	247	15-LOX-2	arachidonate 15-lipoxygenase, type B
ALOX5	240	5-LO, 5-LOX, 5LPG, LOG5	arachidonate 5-lipoxygenase
ALOX5AP	241	FLAP	arachidonate 5-lipoxygenase-activating protein
ALPI	248	IAP	alkaline phosphatase, intestinal
ALPL	249	AP-TNAP, APTNAP, HOPS, TNAP, TNSALP	alkaline phosphatase, liver/bone/kidney
ALX4	60529	FND2	ALX homeobox 4
AMACR	23600	AMACRD, CBAS4, RACE, RM	alpha-methylacyl-CoA racemase
AMH	268	MIF, MIS	anti-Mullerian hormone
AMHR2	269	AMHR, MISR2, MISRII, MRII	anti-Mullerian hormone receptor, type II
ANAPC4	29945	APC4	anaphase promoting complex subunit 4
ANG	283	ALS9, HEL168, RNASE4, RNASE5	angiogenin, ribonuclease, RNase A family, 5
ANGPT1	284	AGP1, AGPT, ANG1	angiopoietin 1
ANGPT2	285	AGPT2, ANG2	angiopoietin 2
ANGPTL4	51129	ANGPTL2, ARP4, FIAF, HFARP, NL2, PGAR, pp1158	angiopoietin-like 4
ANKRD1	27063	ALRP, C-193, CARP, CVARP, MCARP, bA320F15.2	ankyrin repeat domain 1 (cardiac muscle)
ANPEP	290	APN, CD13, GP150, LAP1, P150, PEPN	alanyl (membrane) aminopeptidase
ANTXR1	84168	ATR, TEM8	anthrax toxin receptor 1
ANXA8	653145	ANX8	annexin A8
APAF1	317	APAF-1, CED4, Apaf-1	apoptotic peptidase activating factor 1
APBB1	322	FE65, MGC:9072, RIR	amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)
APC	324	BTPS2, DP2, DP2.5, DP3, GS, PPP1R46	adenomatous polyposis coli
APCS	325	PTX2, SAP	amyloid P component, serum
APEX1	328	APE, APE1, APEN, APEX, APX, HAP1, REF1	APEX nuclease (multifunctional DNA repair enzyme) 1
APH1A	51107	6530402N02Rik, APH-1, APH-1A, CGI-78	anterior pharynx defective 1 homolog A (C. elegans)
APLF	200558	APFL, C2orf13, PALF, Xip1	aprataxin and PNKP like factor
APLNR	187	AGTRL1, APJ, APJR, HG11	apelin receptor
APLP1	333	APLP	amyloid beta (A4) precursor-like protein 1
APOA2	336	Apo-AII, ApoA-II, apoAII	apolipoprotein A-II
APOA5	116519	APOAV, RAP3	apolipoprotein A-V
APOB	338	FLDB, LDLCQ4	apolipoprotein B (including Ag(x) antigen)
APOBR	55911	APOB100R, APOB48R	apolipoprotein B receptor
APOC3	345	APOCIII, HALP2	apolipoprotein C-III
APOE	348	AD2, LDLCQ5, LPG	apolipoprotein E
APOM	55937	G3a, HSPC336, NG20, apo-M	apolipoprotein M
APP	351	AAA, ABETA, ABPP, AD1, APPI, CTFgamma, CVAP, PN-II, PN2	amyloid beta (A4) precursor protein
AQP3	360	AQP-3, GIL	aquaporin 3 (Gill blood group)
AR	367	AIS, DHTR, HUMARA, HYSP1, KD, NR3C4, SBMA, SMAX1, TFM	androgen receptor
AREG	374	AR, CRDGF, SDGF	amphiregulin
ARHGEF1	9138	GEF1, LBCL2, LSC, P115-RHOGEF, SUB1.5	Rho guanine nucleotide exchange factor (GEF) 1
ARID1A	8289	B120, BAF250, BAF250a, BM029, C1orf4, ELD, MRD14, OSA1, P270, SMARCF1, hELD, hOSA1	AT rich interactive domain 1A (SWI-like)
ARID1B	57492	6A3-5, BAF250B, BRIGHT, DAN15, ELD/OSA1, MRD12, OSA2, P250R	AT rich interactive domain 1B (SWI1-like)
ARID3A	1820	BRIGHT, DRIL1, DRIL3, E2FBP1	AT rich interactive domain 3A (BRIGHT-like)
ARL6IP5	10550	DERP11, GTRAP3-18, JWA, PRAF3, addicsin, hp22, jmx	ADP-ribosylation-like factor 6 interacting protein 5
ARNT	405	HIF-1-beta, HIF-1beta, HIF1-beta, HIF1B, HIF1BETA, TANGO, bHLHe2	aryl hydrocarbon receptor nuclear translocator
ARNT2	9915	bHLHe1	aryl-hydrocarbon receptor nuclear translocator 2
ARNTL	406	BMAL1, BMAL1c, JAP3, MOP3, PASD3, TIC, bHLHe5	aryl hydrocarbon receptor nuclear translocator-like
ARNTL2	56938	BMAL2, CLIF, MOP9, PASD9, bHLHe6	aryl hydrocarbon receptor nuclear translocator-like 2
ART1	417	ART2, ARTC1, CD296, RT6	ADP-ribosyltransferase 1
ARX	170302	CT121, EIEE1, ISSX, MRX29, MRX32, MRX33, MRX36, MRX38, MRX43, MRX54, MRX76, MRX87, MRXS1, PRTS	aristaless related homeobox
ASAH1	427	AC, ACDase, ASAH, PHP, PHP32, SMAPME	N-acylsphingosine amidohydrolase (acid ceramidase) 1
ASAP2	8853	AMAP2, CENTB3, DDEF2, PAG3, PAP, Pap-alpha, SHAG1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2
ASCL1	429	ASH1, HASH1, MASH1, bHLHa46	achaete-scute complex homolog 1 (Drosophila)
ASCL2	430	ASH2, HASH2, MASH2, bHLHa45	achaete-scute complex homolog 2 (Drosophila)
ASF1B	55723	CIA-II	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)
ASH1L	55870	ASH1, ASH1L1, KMT2H	ash1 (absent, small, or homeotic)-like (Drosophila)
ASNS	440	TS11	asparagine synthetase (glutamine-hydrolyzing)
ASPH	444	AAH, BAH, CASQ2BP1, HAAH, JCTN, junctin	aspartate beta-hydroxylase
ASPM	259266	ASP, Calmbp1, MCPH5	asp (abnormal spindle) homolog, microcephaly associated (Drosophila)
ASPN	54829	OS3, PLAP-1, PLAP1, SLRR1C	asporin
ASS1	445	ASS, CTLN1	argininosuccinate synthase 1
ASXL1	171023	BOPS, MDS	additional sex combs like 1 (Drosophila)
ATAD2	29028	ANCCA, PRO2000	ATPase family, AAA domain containing 2
ATF1	466	EWS-ATF1, FUS/ATF-1, TREB36	activating transcription factor 1
ATF2	1386	CRE-BP1, CREB2, HB16, TREB7	activating transcription factor 2
ATF3	467	Atf3	activating transcription factor 3
ATF4	468	CREB-2, CREB2, TAXREB67, TXREB	activating transcription factor 4 (tax-responsive enhancer element B67)
ATF5	22809	ATFX, HMFN0395	activating transcription factor 5
ATF6	22926	ATF6A	activating transcription factor 6
ATF7	11016	ATFA	activating transcription factor 7
ATG5	9474	APG5, APG5-LIKE, APG5L, ASP, hAPG5	autophagy related 5
ATG7	10533	APG7-LIKE, APG7L, GSA7	autophagy related 7
ATM	472	AT1, ATA, ATC, ATD, ATDC, ATE, TEL1, TELO1	ataxia telangiectasia mutated
ATOH1	474	ATH1, HATH1, MATH-1, bHLHa14	atonal homolog 1 (Drosophila)
ATP1B1	481	ATP1B	ATPase, Na+/K+ transporting, beta 1 polypeptide
ATP2A2	488	ATP2B, DAR, DD, SERCA2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2
ATP2A3	489	SERCA3	ATPase, Ca++ transporting, ubiquitous
ATP2C1	27032	ATP2C1A, BCPM, HHD, PMR1, SPCA1, hSPCA1	ATPase, Ca++ transporting, type 2C, member 1
ATP5A1	498	ATP5A, ATP5AL2, ATPM, MOM2, OMR, ORM, hATP1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle
ATP6V0A2	23545	A2, ARCL, ARCL2A, ATP6A2, ATP6N1D, J6B7, RTF, STV1, TJ6, TJ6M, TJ6S, VPH1, WSS	ATPase, H+ transporting, lysosomal V0 subunit a2
ATP6V0E1	8992	ATP6H, ATP6V0E, M9.2, Vma21, Vma21p	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1
ATRX	546	ATR2, JMS, MRXHF1, RAD54, RAD54L, SFM1, SHS, XH2, XNP, ZNF-HX	alpha thalassemia/mental retardation syndrome X-linked
ATXN2	6311	ASL13, ATX2, SCA2, TNRC13	ataxin 2
ATXN7	6314	ADCAII, OPCA3, SCA7	ataxin 7
AURKA	6790	AIK, ARK1, AURA, AURORA2, BTAK, PPP1R47, STK15, STK6, STK7	aurora kinase A
AURKB	9212	AIK2, AIM-1, AIM1, ARK2, AurB, IPL1, PPP1R48, STK12, STK5, aurkb-sv1, aurkb-sv2	aurora kinase B
AVP	551	ADH, ARVP, AVP-NPII, AVRP, VP	arginine vasopressin
AXIN1	8312	AXIN, PPP1R49	axin 1
AXIN2	8313	AXIL, ODCRCS	axin 2
AXL	558	JTK11, UFO	AXL receptor tyrosine kinase
B4GALT1	2683	B4GAL-T1, CDG2D, GGTB2, GT1, GTB, beta4Gal-T1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1
B4GALT5	9334	B4Gal-T5, BETA4-GALT-IV, beta4Gal-T5, beta4GalT-V, gt-V	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5
BACE1	23621	ASP2, BACE, HSPC104	beta-site APP-cleaving enzyme 1
BACE2	25825	AEPLC, ALP56, ASP1, ASP21, BAE2, CEAP1, DRAP	beta-site APP-cleaving enzyme 2
BACH1	571	BACH-1, Bach1	BTB and CNC homology 1, basic leucine zipper transcription factor 1
BACH2	60468	BTBD25	BTB and CNC homology 1, basic leucine zipper transcription factor 2
BAD	572	BBC2, BCL2L8	BCL2-associated agonist of cell death
BAG1	573	BAG-1, HAP, RAP46	BCL2-associated athanogene
BAG2	9532	BAG-2, dJ417I1.2	BCL2-associated athanogene 2
BAG3	9531	BAG-3, BIS, CAIR-1	BCL2-associated athanogene 3
BAI1	575	GDAIF	brain-specific angiogenesis inhibitor 1
BAK1	578	BAK, BAK-LIKE, BCL2L7, CDN1	BCL2-antagonist/killer 1
BAMBI	25805	NMA	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)
BAP1	8314	HUCEP-13, TPDS, UCHL2	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)
BATF	10538	B-ATF, BATF1, SFA-2, SFA2	basic leucine zipper transcription factor, ATF-like
BATF3	55509	JDP1, JUNDM1, SNFT	basic leucine zipper transcription factor, ATF-like 3
BAX	581	BCL2L4	BCL2-associated X protein
BBC3	27113	JFY-1, JFY1, PUMA	BCL2 binding component 3
BCAR1	9564	CAS, CAS1, CASS1, CRKAS, P130Cas	breast cancer anti-estrogen resistance 1
BCAS2	10286	DAM1, SPF27, Snt309	breast carcinoma amplified sequence 2
BCAS3	54828	GAOB1, MAAB	breast carcinoma amplified sequence 3
BCAT1	586	BCATC, BCT1, ECA39, MECA39, PNAS121, PP18	branched chain amino-acid transaminase 1, cytosolic
BCL11A	53335	BCL11A-L, BCL11A-S, BCL11A-XL, BCL11a-M, CTIP1, EVI9, HBFQTL5, ZNF856	B-cell CLL/lymphoma 11A (zinc finger protein)
BCL11B	64919	ATL1-alpha, ATL1-beta, ATL1-delta, ATL1-gamma, CTIP-2, CTIP2, RIT1, ZNF856B, hRIT1-alpha	B-cell CLL/lymphoma 11B (zinc finger protein)
BCL2	596	Bcl-2, PPP1R50	B-cell CLL/lymphoma 2
BCL2A1	597	ACC-1, ACC-2, BCL2L5, BFL1, GRS, HBPA1	BCL2-related protein A1
BCL2L1	598	BCL-XL/S, BCL2L, BCLX, BCLXL, BCLXS, Bcl-X, PPP1R52, bcl-xL, bcl-xS	BCL2-like 1
BCL2L11	10018	BAM, BIM, BOD	BCL2-like 11 (apoptosis facilitator)
BCL2L13	23786	BCL-RAMBO, Bcl2-L-13, MIL1	BCL2-like 13 (apoptosis facilitator)
BCL3	602	BCL4, D19S37	B-cell CLL/lymphoma 3
BCL6	604	BCL5, BCL6A, LAZ3, ZBTB27, ZNF51	B-cell CLL/lymphoma 6
BDKRB1	623	B1BKR, B1R, BKB1R, BKR1, BRADYB1	bradykinin receptor B1
BDKRB2	624	B2R, BK-2, BK2, BKR2, BRB2	bradykinin receptor B2
BDNF	627	ANON2, BULN2	brain-derived neurotrophic factor
BDP1	55814	HSA238520, TAF3B1, TFC5, TFIIIB'', TFIIIB150, TFIIIB90, TFNR	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB
BECN1	8678	ATG6, VPS30, beclin1	beclin 1, autophagy related
BEST1	7439	ARB, BEST, BMD, RP50, TU15B, VMD2	bestrophin 1
BEX2	84707	BEX1, DJ79P11.1	brain expressed X-linked 2
BGLAP	632	BGP, OC, OCN	bone gamma-carboxyglutamate (gla) protein
BGN	633	DSPG1, PG-S1, PGI, SLRR1A	biglycan
BHLHE22	27319	BHLHB5, Beta3, CAGL85, TNRC20	basic helix-loop-helix family, member e22
BHLHE40	8553	BHLHB2, DEC1, HLHB2, SHARP-2, STRA13, Stra14	basic helix-loop-helix family, member e40
BHLHE41	79365	BHLHB3, DEC2, SHARP1, hDEC2	basic helix-loop-helix family, member e41
BHMT	635	BHMT1	betaine--homocysteine S-methyltransferase
BID	637	FP497	BH3 interacting domain death agonist
BIN1	274	AMPH2, AMPHL, SH3P9	bridging integrator 1
BIRC2	329	API1, HIAP2, Hiap-2, MIHB, RNF48, c-IAP1, cIAP1	baculoviral IAP repeat containing 2
BIRC3	330	AIP1, API2, CIAP2, HAIP1, HIAP1, MALT2, MIHC, RNF49, c-IAP2	baculoviral IAP repeat containing 3
BIRC5	332	API4, EPR-1	baculoviral IAP repeat containing 5
BIRC7	79444	KIAP, LIVIN, ML-IAP, MLIAP, RNF50	baculoviral IAP repeat containing 7
BLK	640	MODY11	B lymphoid tyrosine kinase
BLM	641	BS, RECQ2, RECQL2, RECQL3	Bloom syndrome, RecQ helicase-like
BLMH	642	BH, BMH	bleomycin hydrolase
BMI1	648	FLVI2/BMI1, PCGF4, RNF51	BMI1 polycomb ring finger oncogene
BMP2	650	BDA2, BMP2A	bone morphogenetic protein 2
BMP4	652	BMP2B, BMP2B1, MCOPS6, OFC11, ZYME	bone morphogenetic protein 4
BMP7	655	OP-1	bone morphogenetic protein 7
BNIP3	664	NIP3	BCL2/adenovirus E1B 19kDa interacting protein 3
BPI	671	BPIFD1, rBPI	bactericidal/permeability-increasing protein
BPTF	2186	FAC1, FALZ, NURF301	bromodomain PHD finger transcription factor
BRCA1	672	BRCAI, BRCC1, BROVCA1, IRIS, PNCA4, PPP1R53, PSCP, RNF53	breast cancer 1, early onset
BRCA2	675	BRCC2, BROVCA2, FACD, FAD, FAD1, FANCB, FANCD, FANCD1, GLM3, PNCA2	breast cancer 2, early onset
BRD2	6046	D6S113E, FSH, FSRG1, NAT, RING3, RNF3	bromodomain containing 2
BRD3	8019	ORFX, RING3L	bromodomain containing 3
BRD4	23476	CAP, HUNK1, HUNKI, MCAP	bromodomain containing 4
BRD7	29117	BP75, CELTIX1, NAG4	bromodomain containing 7
BRE	9577	BRCC4, BRCC45	brain and reproductive organ-expressed (TNFRSF1A modulator)
BRIP1	83990	BACH1, FANCJ, OF	BRCA1 interacting protein C-terminal helicase 1
BRPF1	7862	BR140	bromodomain and PHD finger containing, 1
BSG	682	5F7, CD147, EMMPRIN, M6, OK, TCSF	basigin (Ok blood group)
BST1	683	CD157	bone marrow stromal cell antigen 1
BST2	684	CD317, TETHERIN	bone marrow stromal cell antigen 2
BTAF1	9044	MOT1, TAF(II)170, TAF172, TAFII170	BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa (Mot1 homolog, S. cerevisiae)
BTF3	689	BETA-NAC, BTF3a, BTF3b, NACB	basic transcription factor 3
BTG2	7832	PC3, TIS21	BTG family, member 2
BTG3	10950	ANA, TOB5, TOB55, TOFA	BTG family, member 3
BTK	695	AGMX1, AT, ATK, BPK, IMD1, PSCTK1, XLA	Bruton agammaglobulinemia tyrosine kinase
BTRC	8945	BETA-TRCP, FBW1A, FBXW1, FBXW1A, FWD1, bTrCP, bTrCP1, betaTrCP	beta-transducin repeat containing E3 ubiquitin protein ligase
BUB1B	701	BUB1beta, BUBR1, Bub1A, MAD3L, MVA1, SSK1, hBUBR1	BUB1 mitotic checkpoint serine/threonine kinase B
C11orf30	56946	EMSY	chromosome 11 open reading frame 30
C1QBP	708	GC1QBP, HABP1, SF2p32, gC1Q-R, gC1qR, p32	complement component 1, q subcomponent binding protein
C1QTNF5	114902	CTRP5, LORD	C1q and tumor necrosis factor related protein 5
C3	718	AHUS5, ARMD9, ASP, C3a, C3b, CPAMD1	complement component 3
C4A	720	C4, C4A2, C4A3, C4A4, C4A6, C4AD, C4S, CO4, CPAMD2, RG	complement component 4A (Rodgers blood group)
C4B	721	C4B1, C4B12, C4B2, C4B3, C4B5, C4BD, C4F, CH, CO4, CPAMD3	complement component 4B (Chido blood group)
C4BPB	725	C4BP	complement component 4 binding protein, beta
CA12	771	CAXII, HsT18816	carbonic anhydrase XII
CA2	760	CA-II, CAC, CAII, Car2	carbonic anhydrase II
CA9	768	CAIX, MN	carbonic anhydrase IX
CABIN1	23523	CAIN, PPP3IN	calcineurin binding protein 1
CABLES1	91768	CABL1, CABLES, HsT2563, IK3-1	Cdk5 and Abl enzyme substrate 1
CACNA1H	8912	CACNA1HB, Cav3.2, ECA6, EIG6	calcium channel, voltage-dependent, T type, alpha 1H subunit
CALB1	793	CALB	calbindin 1, 28kDa
CALD1	800	CDM, H-CAD, HCAD, L-CAD, LCAD, NAG22	caldesmon 1
CALR	811	CRT, RO, SSA, cC1qR	calreticulin
CAMP	820	CAP-18, CAP18, CRAMP, FALL-39, FALL39, LL37	cathelicidin antimicrobial peptide
CAPN10	11132	CANP10, NIDDM1	calpain 10
CAPN6	827	CANPX, CAPNX, CalpM, DJ914P14.1	calpain 6
CAPNS1	826	30K, CALPAIN4, CANP, CANPS, CAPN4, CDPS, CSS1	calpain, small subunit 1
CARD11	84433	BIMP3, CARMA1	caspase recruitment domain family, member 11
CARD8	22900	CARDINAL, DACAR, DAKAR, NDPP, NDPP1, TUCAN	caspase recruitment domain family, member 8
CARM1	10498	PRMT4	coactivator-associated arginine methyltransferase 1
CARTPT	9607	CART	CART prepropeptide
CASP1	834	ICE, IL1BC, P45	caspase 1, apoptosis-related cysteine peptidase
CASP2	835	CASP-2, ICH1, NEDD-2, NEDD2, PPP1R57	caspase 2, apoptosis-related cysteine peptidase
